Week number,Location (county),Number of findings,Species involved,Total number of birds testing positive
Week 1 (2022),Huntingdonshire District,1,Common Buzzard,1
Week 1 (2022),Leeds City Council,3,"Common Buzzard, Little Gull, Mute Swan",3
Week 1 (2022),East Riding of Yorkshire,1,Mute Swan,1
Week 1 (2022),Bassetlaw District,1,Mute Swan,1
Week 1 (2022),Carlisle City Council,1,Unspecified Goose,1
Week 1 (2022),City of Bradford Metropolitan District,1,Kestrel,1
Week 1 (2022),Durham,2,"Mute Swan, Greylag Goose",3
Week 1 (2022),Richmondshire,1,Common Buzzard,1
Week 1 (2022),Sheffield City Council,3,"Canada Goose, Unidentified Swan, Gull",3
Week 1 (2022),Test Valley Borough,1,Red Kite,1
Week 1 (2022),Borough Council of Kings Lynn and West Norfolk,1,"Greylag Goose, Whooper Swan",3
Week 1 (2022),Walsall Metropolitan Borough Council,1,Canada Goose,1
Week 1 (2022),City of Wolverhampton Council,1,Canada Goose,3
Week 1 (2022),Sandwell Metropolitan Borough Council,1,Canada Goose,1
Week 1 (2022),Birmingham City Council,1,Canada Goose,1
Week 1 (2022),Mold,1,Unspecified Goose,1
Week 1 (2022),Cheshire East,1,Canada Goose,2
Week 1 (2022),Cheshire West and Chester,1,Canada Goose,2
Week 1 (2022),Stockport Metropolitan Borough Council,1,Goshawk,1
Week 1 (2022),Wirral,2,"Mute Swan, Canada Goose",2
Week 1 (2022),Scottish Borders,1,Canada Goose,1
Week 1 (2022),Moray,1,Unspecified Goose,1
Week 1 (2022),Dumfries and Galloway,1,"Barnacle Goose, Pink Footed Goose",2
Week 2 (2022),Aberdeenshire,1,Unidentified Swan,1
Week 2 (2022),Birmingham City Council,1,Canada Goose,4
Week 2 (2022),Carlisle City Council,2,"Whooper Swan, Mute Swan",3
Week 2 (2022),Charnwood Borough Council,1,Gull,1
Week 2 (2022),Cheshire East,1,Canada Goose,2
Week 2 (2022),Cheshire West and Chester,3,"Common Buzzard, Mute Swan, Canada Goose",5
Week 2 (2022),City of Edinburgh,2,"Barnacle Goose, Greylag Goose",2
Week 2 (2022),Coventry City,1,Canada Goose,2
Week 2 (2022),Dumfries and Galloway,6,"Barnacle Goose, Greylag Goose, Pink Footed Goose",7
Week 2 (2022),Moray,1,Unspecified Goose,1
Week 2 (2022),North Tyneside,1,Mute Swan,1
Week 2 (2022),Northumberland,2,"Mute Swan, Guillemot",3
Week 2 (2022),Perth and Kinross,1,Common Buzzard,1
Week 2 (2022),Renfrewshire,1,Mute Swan,1
